Die 0 0 2468100 2467200
Bin 0 0 24681 24672 0
Bin 24681 0 49362 24672 0
Bin 49362 0 74043 24672 0
Bin 74043 0 98724 24672 0
Bin 98724 0 123405 24672 0
Bin 123405 0 148086 24672 0
Bin 148086 0 172767 24672 0
Bin 172767 0 197448 24672 0
Bin 197448 0 222129 24672 0
Bin 222129 0 246810 24672 0
Bin 246810 0 271491 24672 0
Bin 271491 0 296172 24672 0
Bin 296172 0 320853 24672 0
Bin 320853 0 345534 24672 0
Bin 345534 0 370215 24672 0
Bin 370215 0 394896 24672 0
Bin 394896 0 419577 24672 0
Bin 419577 0 444258 24672 0
Bin 444258 0 468939 24672 0
Bin 468939 0 493620 24672 0
Bin 493620 0 518301 24672 0
Bin 518301 0 542982 24672 0
Bin 542982 0 567663 24672 0
Bin 567663 0 592344 24672 0
Bin 592344 0 617025 24672 0
Bin 617025 0 641706 24672 0
Bin 641706 0 666387 24672 0
Bin 666387 0 691068 24672 0
Bin 691068 0 715749 24672 0
Bin 715749 0 740430 24672 0
Bin 740430 0 765111 24672 0
Bin 765111 0 789792 24672 0
Bin 789792 0 814473 24672 0
Bin 814473 0 839154 24672 0
Bin 839154 0 863835 24672 0
Bin 863835 0 888516 24672 0
Bin 888516 0 913197 24672 0
Bin 913197 0 937878 24672 0
Bin 937878 0 962559 24672 0
Bin 962559 0 987240 24672 0
Bin 987240 0 1.01192e+06 24672 0
Bin 1.01192e+06 0 1.0366e+06 24672 0
Bin 1.0366e+06 0 1.06128e+06 24672 0
Bin 1.06128e+06 0 1.08596e+06 24672 0
Bin 1.08596e+06 0 1.11064e+06 24672 0
Bin 1.11064e+06 0 1.13533e+06 24672 0
Bin 1.13533e+06 0 1.16001e+06 24672 0
Bin 1.16001e+06 0 1.18469e+06 24672 0
Bin 1.18469e+06 0 1.20937e+06 24672 0
Bin 1.20937e+06 0 1.23405e+06 24672 0
Bin 1.23405e+06 0 1.25873e+06 24672 0
Bin 1.25873e+06 0 1.28341e+06 24672 0
Bin 1.28341e+06 0 1.30809e+06 24672 0
Bin 1.30809e+06 0 1.33277e+06 24672 0
Bin 1.33277e+06 0 1.35746e+06 24672 0
Bin 1.35746e+06 0 1.38214e+06 24672 0
Bin 1.38214e+06 0 1.40682e+06 24672 0
Bin 1.40682e+06 0 1.4315e+06 24672 0
Bin 1.4315e+06 0 1.45618e+06 24672 0
Bin 1.45618e+06 0 1.48086e+06 24672 0
Bin 1.48086e+06 0 1.50554e+06 24672 0
Bin 1.50554e+06 0 1.53022e+06 24672 0
Bin 1.53022e+06 0 1.5549e+06 24672 0
Bin 1.5549e+06 0 1.57958e+06 24672 0
Bin 1.57958e+06 0 1.60426e+06 24672 0
Bin 1.60426e+06 0 1.62895e+06 24672 0
Bin 1.62895e+06 0 1.65363e+06 24672 0
Bin 1.65363e+06 0 1.67831e+06 24672 0
Bin 1.67831e+06 0 1.70299e+06 24672 0
Bin 1.70299e+06 0 1.72767e+06 24672 0
Bin 1.72767e+06 0 1.75235e+06 24672 0
Bin 1.75235e+06 0 1.77703e+06 24672 0
Bin 1.77703e+06 0 1.80171e+06 24672 0
Bin 1.80171e+06 0 1.82639e+06 24672 0
Bin 1.82639e+06 0 1.85108e+06 24672 0
Bin 1.85108e+06 0 1.87576e+06 24672 0
Bin 1.87576e+06 0 1.90044e+06 24672 0
Bin 1.90044e+06 0 1.92512e+06 24672 0
Bin 1.92512e+06 0 1.9498e+06 24672 0
Bin 1.9498e+06 0 1.97448e+06 24672 0
Bin 1.97448e+06 0 1.99916e+06 24672 0
Bin 1.99916e+06 0 2.02384e+06 24672 0
Bin 2.02384e+06 0 2.04852e+06 24672 0
Bin 2.04852e+06 0 2.0732e+06 24672 0
Bin 2.0732e+06 0 2.09788e+06 24672 0
Bin 2.09788e+06 0 2.12257e+06 24672 0
Bin 2.12257e+06 0 2.14725e+06 24672 0
Bin 2.14725e+06 0 2.17193e+06 24672 0
Bin 2.17193e+06 0 2.19661e+06 24672 0
Bin 2.19661e+06 0 2.22129e+06 24672 0
Bin 2.22129e+06 0 2.24597e+06 24672 0
Bin 2.24597e+06 0 2.27065e+06 24672 0
Bin 2.27065e+06 0 2.29533e+06 24672 0
Bin 2.29533e+06 0 2.32001e+06 24672 0
Bin 2.32001e+06 0 2.3447e+06 24672 0
Bin 2.3447e+06 0 2.36938e+06 24672 0
Bin 2.36938e+06 0 2.39406e+06 24672 0
Bin 2.39406e+06 0 2.41874e+06 24672 0
Bin 2.41874e+06 0 2.44342e+06 24672 0
Bin 2.44342e+06 0 2.4681e+06 24672 0
Bin 0 24672 24681 49344 0
Bin 24681 24672 49362 49344 0
Bin 49362 24672 74043 49344 0
Bin 74043 24672 98724 49344 0
Bin 98724 24672 123405 49344 0
Bin 123405 24672 148086 49344 0
Bin 148086 24672 172767 49344 0
Bin 172767 24672 197448 49344 0
Bin 197448 24672 222129 49344 0
Bin 222129 24672 246810 49344 0
Bin 246810 24672 271491 49344 0
Bin 271491 24672 296172 49344 0
Bin 296172 24672 320853 49344 0
Bin 320853 24672 345534 49344 0
Bin 345534 24672 370215 49344 0
Bin 370215 24672 394896 49344 0
Bin 394896 24672 419577 49344 0
Bin 419577 24672 444258 49344 0
Bin 444258 24672 468939 49344 0
Bin 468939 24672 493620 49344 0
Bin 493620 24672 518301 49344 0
Bin 518301 24672 542982 49344 0
Bin 542982 24672 567663 49344 0
Bin 567663 24672 592344 49344 0
Bin 592344 24672 617025 49344 0
Bin 617025 24672 641706 49344 0
Bin 641706 24672 666387 49344 0
Bin 666387 24672 691068 49344 0
Bin 691068 24672 715749 49344 0
Bin 715749 24672 740430 49344 0
Bin 740430 24672 765111 49344 0
Bin 765111 24672 789792 49344 0
Bin 789792 24672 814473 49344 0
Bin 814473 24672 839154 49344 0
Bin 839154 24672 863835 49344 0
Bin 863835 24672 888516 49344 0
Bin 888516 24672 913197 49344 0
Bin 913197 24672 937878 49344 0
Bin 937878 24672 962559 49344 0
Bin 962559 24672 987240 49344 0
Bin 987240 24672 1.01192e+06 49344 0
Bin 1.01192e+06 24672 1.0366e+06 49344 0
Bin 1.0366e+06 24672 1.06128e+06 49344 0
Bin 1.06128e+06 24672 1.08596e+06 49344 0
Bin 1.08596e+06 24672 1.11064e+06 49344 0
Bin 1.11064e+06 24672 1.13533e+06 49344 0
Bin 1.13533e+06 24672 1.16001e+06 49344 0
Bin 1.16001e+06 24672 1.18469e+06 49344 0
Bin 1.18469e+06 24672 1.20937e+06 49344 0
Bin 1.20937e+06 24672 1.23405e+06 49344 0
Bin 1.23405e+06 24672 1.25873e+06 49344 0
Bin 1.25873e+06 24672 1.28341e+06 49344 0
Bin 1.28341e+06 24672 1.30809e+06 49344 0
Bin 1.30809e+06 24672 1.33277e+06 49344 0
Bin 1.33277e+06 24672 1.35746e+06 49344 0
Bin 1.35746e+06 24672 1.38214e+06 49344 0
Bin 1.38214e+06 24672 1.40682e+06 49344 0
Bin 1.40682e+06 24672 1.4315e+06 49344 0
Bin 1.4315e+06 24672 1.45618e+06 49344 0
Bin 1.45618e+06 24672 1.48086e+06 49344 0
Bin 1.48086e+06 24672 1.50554e+06 49344 0
Bin 1.50554e+06 24672 1.53022e+06 49344 0
Bin 1.53022e+06 24672 1.5549e+06 49344 0
Bin 1.5549e+06 24672 1.57958e+06 49344 0
Bin 1.57958e+06 24672 1.60426e+06 49344 0
Bin 1.60426e+06 24672 1.62895e+06 49344 0
Bin 1.62895e+06 24672 1.65363e+06 49344 0
Bin 1.65363e+06 24672 1.67831e+06 49344 0
Bin 1.67831e+06 24672 1.70299e+06 49344 0
Bin 1.70299e+06 24672 1.72767e+06 49344 0
Bin 1.72767e+06 24672 1.75235e+06 49344 0
Bin 1.75235e+06 24672 1.77703e+06 49344 0
Bin 1.77703e+06 24672 1.80171e+06 49344 0
Bin 1.80171e+06 24672 1.82639e+06 49344 0
Bin 1.82639e+06 24672 1.85108e+06 49344 0
Bin 1.85108e+06 24672 1.87576e+06 49344 0
Bin 1.87576e+06 24672 1.90044e+06 49344 0
Bin 1.90044e+06 24672 1.92512e+06 49344 0
Bin 1.92512e+06 24672 1.9498e+06 49344 0
Bin 1.9498e+06 24672 1.97448e+06 49344 0
Bin 1.97448e+06 24672 1.99916e+06 49344 0
Bin 1.99916e+06 24672 2.02384e+06 49344 0
Bin 2.02384e+06 24672 2.04852e+06 49344 0
Bin 2.04852e+06 24672 2.0732e+06 49344 0
Bin 2.0732e+06 24672 2.09788e+06 49344 0
Bin 2.09788e+06 24672 2.12257e+06 49344 0
Bin 2.12257e+06 24672 2.14725e+06 49344 0
Bin 2.14725e+06 24672 2.17193e+06 49344 0
Bin 2.17193e+06 24672 2.19661e+06 49344 0
Bin 2.19661e+06 24672 2.22129e+06 49344 0
Bin 2.22129e+06 24672 2.24597e+06 49344 0
Bin 2.24597e+06 24672 2.27065e+06 49344 0
Bin 2.27065e+06 24672 2.29533e+06 49344 0
Bin 2.29533e+06 24672 2.32001e+06 49344 0
Bin 2.32001e+06 24672 2.3447e+06 49344 0
Bin 2.3447e+06 24672 2.36938e+06 49344 0
Bin 2.36938e+06 24672 2.39406e+06 49344 0
Bin 2.39406e+06 24672 2.41874e+06 49344 0
Bin 2.41874e+06 24672 2.44342e+06 49344 0
Bin 2.44342e+06 24672 2.4681e+06 49344 0
Bin 0 49344 24681 74016 0
Bin 24681 49344 49362 74016 0
Bin 49362 49344 74043 74016 0
Bin 74043 49344 98724 74016 0
Bin 98724 49344 123405 74016 0
Bin 123405 49344 148086 74016 0
Bin 148086 49344 172767 74016 0
Bin 172767 49344 197448 74016 0
Bin 197448 49344 222129 74016 0
Bin 222129 49344 246810 74016 0
Bin 246810 49344 271491 74016 0
Bin 271491 49344 296172 74016 0
Bin 296172 49344 320853 74016 0
Bin 320853 49344 345534 74016 0
Bin 345534 49344 370215 74016 0
Bin 370215 49344 394896 74016 0
Bin 394896 49344 419577 74016 0
Bin 419577 49344 444258 74016 0
Bin 444258 49344 468939 74016 0
Bin 468939 49344 493620 74016 0
Bin 493620 49344 518301 74016 0
Bin 518301 49344 542982 74016 0
Bin 542982 49344 567663 74016 0
Bin 567663 49344 592344 74016 0
Bin 592344 49344 617025 74016 0
Bin 617025 49344 641706 74016 0
Bin 641706 49344 666387 74016 0
Bin 666387 49344 691068 74016 0
Bin 691068 49344 715749 74016 0
Bin 715749 49344 740430 74016 0
Bin 740430 49344 765111 74016 0
Bin 765111 49344 789792 74016 0
Bin 789792 49344 814473 74016 0
Bin 814473 49344 839154 74016 0
Bin 839154 49344 863835 74016 0
Bin 863835 49344 888516 74016 0
Bin 888516 49344 913197 74016 0
Bin 913197 49344 937878 74016 0
Bin 937878 49344 962559 74016 0
Bin 962559 49344 987240 74016 0
Bin 987240 49344 1.01192e+06 74016 0
Bin 1.01192e+06 49344 1.0366e+06 74016 0
Bin 1.0366e+06 49344 1.06128e+06 74016 0
